jjSASKSQSJ	(2) royal straight flush!
jjSKHQCJDK	(6) 3 cards
jjSKHQCJDQ	(6) 3 cards
jjSKHQCJDJ	(6) 3 cards
jjSKHQDADK	(6) 3 cards
jjSKHQDADQ	(6) 3 cards
jjSKHQDADJ	(5) straight!
jjSKHQDKDQ	(4) full house
jjSKHQDKDJ	(6) 3 cards
jjSKHQDQDJ	(6) 3 cards
jjSKHJCACK	(6) 3 cards
jjSKHJCACQ	(5) straight!
jjSKHJCACJ	(6) 3 cards
jjSKHJCADA	(6) 3 cards
jjSKHJCADK	(6) 3 cards
jjSKHJCADQ	(5) straight!
jjSKHJCADJ	(6) 3 cards
jjSKHJCKCQ	(6) 3 cards
jjSKHJCKCJ	(4) full house
jjSKHJCKDA	(6) 3 cards
jjSKHJCKDK	(6) 3 cards
jjSKHJCKDQ	(6) 3 cards
jjSKHJCKDJ	(4) full house
jjSKHJCQCJ	(6) 3 cards
jjSKHJCQDA	(5) straight!
jjSKHJCQDK	(6) 3 cards
jjSKHJCQDQ	(6) 3 cards
jjSKHJCQDJ	(6) 3 cards
jjSKHJCJDA	(6) 3 cards
jjSKHJCJDK	(4) full house
jjSKHJCJDQ	(6) 3 cards
jjSKHJCJDJ	(6) 3 cards
jjSKHJDADK	(6) 3 cards
jjSKHJDADQ	(5) straight!
jjSKHJDADJ	(6) 3 cards
jjSKHJDKDQ	(6) 3 cards
jjSKHJDKDJ	(4) full house
jjSKHJDQDJ	(6) 3 cards
jjSKCACKCQ	(6) 3 cards
jjSKCACKCJ	(6) 3 cards
jjSKCACKDA	(4) full house
jjSKCACKDK	(6) 3 cards
jjSKCACKDQ	(6) 3 cards
jjSKCACKDJ	(6) 3 cards
jjSKCACQCJ	(5) straight!
jjSKCACQDA	(6) 3 cards
jjSKCACQDK	(6) 3 cards
jjSKCACQDQ	(6) 3 cards
jjSKCACQDJ	(5) straight!
jjSKCACJDA	(6) 3 cards
jjSKCACJDK	(6) 3 cards
jjSKCACJDQ	(5) straight!
jjSKCACJDJ	(6) 3 cards
jjSKCADADK	(4) full house
jjSKCADADQ	(6) 3 cards
jjSKCADADJ	(6) 3 cards
jjSKCADKDQ	(6) 3 cards
jjSKCADKDJ	(6) 3 cards
jjSKCADQDJ	(5) straight!
jjSKCKCQCJ	(6) 3 cards
jjSKCKCQDA	(6) 3 cards
jjSKCKCQDK	(6) 3 cards
jjSKCKCQDQ	(4) full house
jjSKCKCQDJ	(6) 3 cards
jjSKCKCJDA	(6) 3 cards
jjSKCKCJDK	(6) 3 cards
jjSKCKCJDQ	(6) 3 cards
jjSKCKCJDJ	(4) full house
jjSKCKDADK	(6) 3 cards
jjSKCKDADQ	(6) 3 cards
jjSKCKDADJ	(6) 3 cards
jjSKCKDKDQ	(6) 3 cards
jjSKCKDKDJ	(6) 3 cards
jjSKCKDQDJ	(6) 3 cards
jjSKCQCJDA	(5) straight!
jjSKCQCJDK	(6) 3 cards
jjSKCQCJDQ	(6) 3 cards
jjSKCQCJDJ	(6) 3 cards
jjSKCQDADK	(6) 3 cards
jjSKCQDADQ	(6) 3 cards
jjSKCQDADJ	(5) straight!
jjSKCQDKDQ	(4) full house
jjSKCQDKDJ	(6) 3 cards
jjSKCQDQDJ	(6) 3 cards
jjSKCJDADK	(6) 3 cards
jjSKCJDADQ	(5) straight!
jjSKCJDADJ	(6) 3 cards
jjSKCJDKDQ	(6) 3 cards
jjSKCJDKDJ	(4) full house
jjSKCJDQDJ	(6) 3 cards
jjSKDADKDQ	(6) 3 cards
jjSKDADKDJ	(6) 3 cards
jjSKDADQDJ	(5) straight!
jjSKDKDQDJ	(6) 3 cards
jjSQSJHAHK	(5) straight!
jjSQSJHAHQ	(6) 3 cards
jjSQSJHAHJ	(6) 3 cards
jjSQSJHACA	(6) 3 cards
jjSQSJHACK	(5) straight!
jjSQSJHACQ	(6) 3 cards
jjSQSJHACJ	(6) 3 cards
jjSQSJHADA	(6) 3 cards
jjSQSJHADK	(5) straight!
jjSQSJHADQ	(6) 3 cards
jjSQSJHADJ	(6) 3 cards
jjSQSJHKHQ	(6) 3 cards
jjSQSJHKHJ	(6) 3 cards
jjSQSJHKCA	(5) straight!
jjSQSJHKCK	(6) 3 cards
jjSQSJHKCQ	(6) 3 cards
jjSQSJHKCJ	(6) 3 cards
jjSQSJHKDA	(5) straight!
jjSQSJHKDK	(6) 3 cards
jjSQSJHKDQ	(6) 3 cards
jjSQSJHKDJ	(6) 3 cards
jjSQSJHQHJ	(4) full house
jjSQSJHQCA	(6) 3 cards
jjSQSJHQCK	(6) 3 cards
jjSQSJHQCQ	(6) 3 cards
jjSQSJHQCJ	(4) full house
jjSQSJHQDA	(6) 3 cards
jjSQSJHQDK	(6) 3 cards
jjSQSJHQDQ	(6) 3 cards
jjSQSJHQDJ	(4) full house
jjSQSJHJCA	(6) 3 cards
jjSQSJHJCK	(6) 3 cards
jjSQSJHJCQ	(4) full house
jjSQSJHJCJ	(6) 3 cards
jjSQSJHJDA	(6) 3 cards
jjSQSJHJDK	(6) 3 cards
jjSQSJHJDQ	(4) full house
jjSQSJHJDJ	(6) 3 cards
jjSQSJCACK	(5) straight!
jjSQSJCACQ	(6) 3 cards
jjSQSJCACJ	(6) 3 cards
jjSQSJCADA	(6) 3 cards
jjSQSJCADK	(5) straight!
jjSQSJCADQ	(6) 3 cards
jjSQSJCADJ	(6) 3 cards
jjSQSJCKCQ	(6) 3 cards
jjSQSJCKCJ	(6) 3 cards
jjSQSJCKDA	(5) straight!
jjSQSJCKDK	(6) 3 cards
jjSQSJCKDQ	(6) 3 cards
jjSQSJCKDJ	(6) 3 cards
jjSQSJCQCJ	(4) full house
jjSQSJCQDA	(6) 3 cards
jjSQSJCQDK	(6) 3 cards
jjSQSJCQDQ	(6) 3 cards
jjSQSJCQDJ	(4) full house
jjSQSJCJDA	(6) 3 cards
jjSQSJCJDK	(6) 3 cards
jjSQSJCJDQ	(4) full house
jjSQSJCJDJ	(6) 3 cards
jjSQSJDADK	(5) straight!
jjSQSJDADQ	(6) 3 cards
jjSQSJDADJ	(6) 3 cards
jjSQSJDKDQ	(6) 3 cards
jjSQSJDKDJ	(6) 3 cards
jjSQSJDQDJ	(4) full house
jjSQHAHKHQ	(6) 3 cards
jjSQHAHKHJ	(5) straight!
jjSQHAHKCA	(6) 3 cards
jjSQHAHKCK	(6) 3 cards
jjSQHAHKCQ	(6) 3 cards
jjSQHAHKCJ	(5) straight!
jjSQHAHKDA	(6) 3 cards
jjSQHAHKDK	(6) 3 cards
jjSQHAHKDQ	(6) 3 cards
jjSQHAHKDJ	(5) straight!
jjSQHAHQHJ	(6) 3 cards
jjSQHAHQCA	(4) full house
jjSQHAHQCK	(6) 3 cards
jjSQHAHQCQ	(6) 3 cards
jjSQHAHQCJ	(6) 3 cards
jjSQHAHQDA	(4) full house
jjSQHAHQDK	(6) 3 cards
jjSQHAHQDQ	(6) 3 cards
jjSQHAHQDJ	(6) 3 cards
jjSQHAHJCA	(6) 3 cards
jjSQHAHJCK	(5) straight!
jjSQHAHJCQ	(6) 3 cards
jjSQHAHJCJ	(6) 3 cards
jjSQHAHJDA	(6) 3 cards
jjSQHAHJDK	(5) straight!
jjSQHAHJDQ	(6) 3 cards
jjSQHAHJDJ	(6) 3 cards
jjSQHACACK	(6) 3 cards
jjSQHACACQ	(4) full house
jjSQHACACJ	(6) 3 cards
jjSQHACADA	(6) 3 cards
jjSQHACADK	(6) 3 cards
jjSQHACADQ	(4) full house
jjSQHACADJ	(6) 3 cards
jjSQHACKCQ	(6) 3 cards
jjSQHACKCJ	(5) straight!
jjSQHACKDA	(6) 3 cards
jjSQHACKDK	(6) 3 cards
jjSQHACKDQ	(6) 3 cards
jjSQHACKDJ	(5) straight!
jjSQHACQCJ	(6) 3 cards
jjSQHACQDA	(4) full house
jjSQHACQDK	(6) 3 cards
jjSQHACQDQ	(6) 3 cards
jjSQHACQDJ	(6) 3 cards
jjSQHACJDA	(6) 3 cards
jjSQHACJDK	(5) straight!
jjSQHACJDQ	(6) 3 cards
jjSQHACJDJ	(6) 3 cards
jjSQHADADK	(6) 3 cards
jjSQHADADQ	(4) full house
jjSQHADADJ	(6) 3 cards
jjSQHADKDQ	(6) 3 cards
jjSQHADKDJ	(5) straight!
jjSQHADQDJ	(6) 3 cards
jjSQHKHQHJ	(6) 3 cards
jjSQHKHQCA	(6) 3 cards
jjSQHKHQCK	(4) full house
jjSQHKHQCQ	(6) 3 cards
jjSQHKHQCJ	(6) 3 cards
jjSQHKHQDA	(6) 3 cards
jjSQHKHQDK	(4) full house
jjSQHKHQDQ	(6) 3 cards
jjSQHKHQDJ	(6) 3 cards
jjSQHKHJCA	(5) straight!
jjSQHKHJCK	(6) 3 cards
jjSQHKHJCQ	(6) 3 cards
jjSQHKHJCJ	(6) 3 cards
jjSQHKHJDA	(5) straight!
jjSQHKHJDK	(6) 3 cards
jjSQHKHJDQ	(6) 3 cards
jjSQHKHJDJ	(6) 3 cards
jjSQHKCACK	(6) 3 cards
jjSQHKCACQ	(6) 3 cards
jjSQHKCACJ	(5) straight!
jjSQHKCADA	(6) 3 cards
jjSQHKCADK	(6) 3 cards
jjSQHKCADQ	(6) 3 cards
jjSQHKCADJ	(5) straight!
jjSQHKCKCQ	(4) full house
jjSQHKCKCJ	(6) 3 cards
jjSQHKCKDA	(6) 3 cards
jjSQHKCKDK	(6) 3 cards
jjSQHKCKDQ	(4) full house
jjSQHKCKDJ	(6) 3 cards
jjSQHKCQCJ	(6) 3 cards
jjSQHKCQDA	(6) 3 cards
jjSQHKCQDK	(4) full house
jjSQHKCQDQ	(6) 3 cards
jjSQHKCQDJ	(6) 3 cards
jjSQHKCJDA	(5) straight!
jjSQHKCJDK	(6) 3 cards
jjSQHKCJDQ	(6) 3 cards
jjSQHKCJDJ	(6) 3 cards
jjSQHKDADK	(6) 3 cards
jjSQHKDADQ	(6) 3 cards
jjSQHKDADJ	(5) straight!
jjSQHKDKDQ	(4) full house
jjSQHKDKDJ	(6) 3 cards
jjSQHKDQDJ	(6) 3 cards
jjSQHQHJCA	(6) 3 cards
jjSQHQHJCK	(6) 3 cards
jjSQHQHJCQ	(6) 3 cards
jjSQHQHJCJ	(4) full house
jjSQHQHJDA	(6) 3 cards
jjSQHQHJDK	(6) 3 cards
jjSQHQHJDQ	(6) 3 cards
jjSQHQHJDJ	(4) full house
jjSQHQCACK	(6) 3 cards
jjSQHQCACQ	(6) 3 cards
jjSQHQCACJ	(6) 3 cards
jjSQHQCADA	(4) full house
jjSQHQCADK	(6) 3 cards
jjSQHQCADQ	(6) 3 cards
jjSQHQCADJ	(6) 3 cards
jjSQHQCKCQ	(6) 3 cards
jjSQHQCKCJ	(6) 3 cards
jjSQHQCKDA	(6) 3 cards
jjSQHQCKDK	(4) full house
jjSQHQCKDQ	(6) 3 cards
jjSQHQCKDJ	(6) 3 cards
jjSQHQCQCJ	(6) 3 cards
jjSQHQCQDA	(6) 3 cards
jjSQHQCQDK	(6) 3 cards
jjSQHQCQDQ	(1) 5 cards!
jjSQHQCQDJ	(6) 3 cards
jjSQHQCJDA	(6) 3 cards
jjSQHQCJDK	(6) 3 cards
jjSQHQCJDQ	(6) 3 cards
jjSQHQCJDJ	(4) full house
jjSQHQDADK	(6) 3 cards
jjSQHQDADQ	(6) 3 cards
jjSQHQDADJ	(6) 3 cards
jjSQHQDKDQ	(6) 3 cards
jjSQHQDKDJ	(6) 3 cards
jjSQHQDQDJ	(6) 3 cards
jjSQHJCACK	(5) straight!
jjSQHJCACQ	(6) 3 cards
jjSQHJCACJ	(6) 3 cards
jjSQHJCADA	(6) 3 cards
jjSQHJCADK	(5) straight!
jjSQHJCADQ	(6) 3 cards
jjSQHJCADJ	(6) 3 cards
jjSQHJCKCQ	(6) 3 cards
jjSQHJCKCJ	(6) 3 cards
jjSQHJCKDA	(5) straight!
jjSQHJCKDK	(6) 3 cards
jjSQHJCKDQ	(6) 3 cards
jjSQHJCKDJ	(6) 3 cards
jjSQHJCQCJ	(4) full house
jjSQHJCQDA	(6) 3 cards
jjSQHJCQDK	(6) 3 cards
jjSQHJCQDQ	(6) 3 cards
jjSQHJCQDJ	(4) full house
jjSQHJCJDA	(6) 3 cards
jjSQHJCJDK	(6) 3 cards
jjSQHJCJDQ	(4) full house
jjSQHJCJDJ	(6) 3 cards
jjSQHJDADK	(5) straight!
jjSQHJDADQ	(6) 3 cards
jjSQHJDADJ	(6) 3 cards
jjSQHJDKDQ	(6) 3 cards
jjSQHJDKDJ	(6) 3 cards
jjSQHJDQDJ	(4) full house
jjSQCACKCQ	(6) 3 cards
jjSQCACKCJ	(5) straight!
jjSQCACKDA	(6) 3 cards
jjSQCACKDK	(6) 3 cards
jjSQCACKDQ	(6) 3 cards
jjSQCACKDJ	(5) straight!
jjSQCACQCJ	(6) 3 cards
jjSQCACQDA	(4) full house
jjSQCACQDK	(6) 3 cards
jjSQCACQDQ	(6) 3 cards
jjSQCACQDJ	(6) 3 cards
jjSQCACJDA	(6) 3 cards
jjSQCACJDK	(5) straight!
jjSQCACJDQ	(6) 3 cards
jjSQCACJDJ	(6) 3 cards
jjSQCADADK	(6) 3 cards
jjSQCADADQ	(4) full house
jjSQCADADJ	(6) 3 cards
jjSQCADKDQ	(6) 3 cards
jjSQCADKDJ	(5) straight!
jjSQCADQDJ	(6) 3 cards
jjSQCKCQCJ	(6) 3 cards
jjSQCKCQDA	(6) 3 cards
jjSQCKCQDK	(4) full house
jjSQCKCQDQ	(6) 3 cards
jjSQCKCQDJ	(6) 3 cards
jjSQCKCJDA	(5) straight!
jjSQCKCJDK	(6) 3 cards
jjSQCKCJDQ	(6) 3 cards
jjSQCKCJDJ	(6) 3 cards
jjSQCKDADK	(6) 3 cards
jjSQCKDADQ	(6) 3 cards
jjSQCKDADJ	(5) straight!
jjSQCKDKDQ	(4) full house
jjSQCKDKDJ	(6) 3 cards
jjSQCKDQDJ	(6) 3 cards
jjSQCQCJDA	(6) 3 cards
jjSQCQCJDK	(6) 3 cards
jjSQCQCJDQ	(6) 3 cards
jjSQCQCJDJ	(4) full house
jjSQCQDADK	(6) 3 cards
jjSQCQDADQ	(6) 3 cards
jjSQCQDADJ	(6) 3 cards
jjSQCQDKDQ	(6) 3 cards
jjSQCQDKDJ	(6) 3 cards
jjSQCQDQDJ	(6) 3 cards
jjSQCJDADK	(5) straight!
jjSQCJDADQ	(6) 3 cards
jjSQCJDADJ	(6) 3 cards
jjSQCJDKDQ	(6) 3 cards
jjSQCJDKDJ	(6) 3 cards
jjSQCJDQDJ	(4) full house
jjSQDADKDQ	(6) 3 cards
jjSQDADKDJ	(5) straight!
jjSQDADQDJ	(6) 3 cards
jjSQDKDQDJ	(6) 3 cards
jjSJHAHKHQ	(5) straight!
jjSJHAHKHJ	(6) 3 cards
jjSJHAHKCA	(6) 3 cards
jjSJHAHKCK	(6) 3 cards
jjSJHAHKCQ	(5) straight!
jjSJHAHKCJ	(6) 3 cards
jjSJHAHKDA	(6) 3 cards
jjSJHAHKDK	(6) 3 cards
jjSJHAHKDQ	(5) straight!
jjSJHAHKDJ	(6) 3 cards
jjSJHAHQHJ	(6) 3 cards
jjSJHAHQCA	(6) 3 cards
jjSJHAHQCK	(5) straight!
jjSJHAHQCQ	(6) 3 cards
jjSJHAHQCJ	(6) 3 cards
jjSJHAHQDA	(6) 3 cards
jjSJHAHQDK	(5) straight!
jjSJHAHQDQ	(6) 3 cards
jjSJHAHQDJ	(6) 3 cards
jjSJHAHJCA	(4) full house
jjSJHAHJCK	(6) 3 cards
jjSJHAHJCQ	(6) 3 cards
jjSJHAHJCJ	(6) 3 cards
jjSJHAHJDA	(4) full house
jjSJHAHJDK	(6) 3 cards
jjSJHAHJDQ	(6) 3 cards
jjSJHAHJDJ	(6) 3 cards
jjSJHACACK	(6) 3 cards
jjSJHACACQ	(6) 3 cards
jjSJHACACJ	(4) full house
jjSJHACADA	(6) 3 cards
jjSJHACADK	(6) 3 cards
jjSJHACADQ	(6) 3 cards
jjSJHACADJ	(4) full house
jjSJHACKCQ	(5) straight!
jjSJHACKCJ	(6) 3 cards
jjSJHACKDA	(6) 3 cards
jjSJHACKDK	(6) 3 cards
jjSJHACKDQ	(5) straight!
jjSJHACKDJ	(6) 3 cards
jjSJHACQCJ	(6) 3 cards
jjSJHACQDA	(6) 3 cards
jjSJHACQDK	(5) straight!
jjSJHACQDQ	(6) 3 cards
jjSJHACQDJ	(6) 3 cards
jjSJHACJDA	(4) full house
jjSJHACJDK	(6) 3 cards
jjSJHACJDQ	(6) 3 cards
jjSJHACJDJ	(6) 3 cards
jjSJHADADK	(6) 3 cards
jjSJHADADQ	(6) 3 cards
jjSJHADADJ	(4) full house
jjSJHADKDQ	(5) straight!
jjSJHADKDJ	(6) 3 cards
jjSJHADQDJ	(6) 3 cards
jjSJHKHQHJ	(6) 3 cards
jjSJHKHQCA	(5) straight!
jjSJHKHQCK	(6) 3 cards
jjSJHKHQCQ	(6) 3 cards
jjSJHKHQCJ	(6) 3 cards
jjSJHKHQDA	(5) straight!
jjSJHKHQDK	(6) 3 cards
jjSJHKHQDQ	(6) 3 cards
jjSJHKHQDJ	(6) 3 cards
jjSJHKHJCA	(6) 3 cards
jjSJHKHJCK	(4) full house
jjSJHKHJCQ	(6) 3 cards
jjSJHKHJCJ	(6) 3 cards
jjSJHKHJDA	(6) 3 cards
jjSJHKHJDK	(4) full house
jjSJHKHJDQ	(6) 3 cards
jjSJHKHJDJ	(6) 3 cards
jjSJHKCACK	(6) 3 cards
jjSJHKCACQ	(5) straight!
jjSJHKCACJ	(6) 3 cards
jjSJHKCADA	(6) 3 cards
jjSJHKCADK	(6) 3 cards
jjSJHKCADQ	(5) straight!
jjSJHKCADJ	(6) 3 cards
jjSJHKCKCQ	(6) 3 cards
jjSJHKCKCJ	(4) full house
jjSJHKCKDA	(6) 3 cards
jjSJHKCKDK	(6) 3 cards
jjSJHKCKDQ	(6) 3 cards
jjSJHKCKDJ	(4) full house
jjSJHKCQCJ	(6) 3 cards
jjSJHKCQDA	(5) straight!
jjSJHKCQDK	(6) 3 cards
jjSJHKCQDQ	(6) 3 cards
jjSJHKCQDJ	(6) 3 cards
jjSJHKCJDA	(6) 3 cards
jjSJHKCJDK	(4) full house
jjSJHKCJDQ	(6) 3 cards
jjSJHKCJDJ	(6) 3 cards
jjSJHKDADK	(6) 3 cards
jjSJHKDADQ	(5) straight!
jjSJHKDADJ	(6) 3 cards
jjSJHKDKDQ	(6) 3 cards
jjSJHKDKDJ	(4) full house
jjSJHKDQDJ	(6) 3 cards
jjSJHQHJCA	(6) 3 cards
jjSJHQHJCK	(6) 3 cards
jjSJHQHJCQ	(4) full house
jjSJHQHJCJ	(6) 3 cards
jjSJHQHJDA	(6) 3 cards
jjSJHQHJDK	(6) 3 cards
jjSJHQHJDQ	(4) full house
jjSJHQHJDJ	(6) 3 cards
jjSJHQCACK	(5) straight!
jjSJHQCACQ	(6) 3 cards
jjSJHQCACJ	(6) 3 cards
jjSJHQCADA	(6) 3 cards
jjSJHQCADK	(5) straight!
jjSJHQCADQ	(6) 3 cards
jjSJHQCADJ	(6) 3 cards
jjSJHQCKCQ	(6) 3 cards
jjSJHQCKCJ	(6) 3 cards
jjSJHQCKDA	(5) straight!
jjSJHQCKDK	(6) 3 cards
jjSJHQCKDQ	(6) 3 cards
jjSJHQCKDJ	(6) 3 cards
jjSJHQCQCJ	(4) full house
jjSJHQCQDA	(6) 3 cards
jjSJHQCQDK	(6) 3 cards
jjSJHQCQDQ	(6) 3 cards
jjSJHQCQDJ	(4) full house
jjSJHQCJDA	(6) 3 cards
jjSJHQCJDK	(6) 3 cards
jjSJHQCJDQ	(4) full house
jjSJHQCJDJ	(6) 3 cards
jjSJHQDADK	(5) straight!
jjSJHQDADQ	(6) 3 cards
jjSJHQDADJ	(6) 3 cards
jjSJHQDKDQ	(6) 3 cards
jjSJHQDKDJ	(6) 3 cards
jjSJHQDQDJ	(4) full house
jjSJHJCACK	(6) 3 cards
jjSJHJCACQ	(6) 3 cards
jjSJHJCACJ	(6) 3 cards
jjSJHJCADA	(4) full house
jjSJHJCADK	(6) 3 cards
jjSJHJCADQ	(6) 3 cards
jjSJHJCADJ	(6) 3 cards
jjSJHJCKCQ	(6) 3 cards
jjSJHJCKCJ	(6) 3 cards
jjSJHJCKDA	(6) 3 cards
jjSJHJCKDK	(4) full house
jjSJHJCKDQ	(6) 3 cards
jjSJHJCKDJ	(6) 3 cards
jjSJHJCQCJ	(6) 3 cards
jjSJHJCQDA	(6) 3 cards
jjSJHJCQDK	(6) 3 cards
jjSJHJCQDQ	(4) full house
jjSJHJCQDJ	(6) 3 cards
jjSJHJCJDA	(6) 3 cards
jjSJHJCJDK	(6) 3 cards
jjSJHJCJDQ	(6) 3 cards
jjSJHJCJDJ	(1) 5 cards!
jjSJHJDADK	(6) 3 cards
jjSJHJDADQ	(6) 3 cards
jjSJHJDADJ	(6) 3 cards
jjSJHJDKDQ	(6) 3 cards
jjSJHJDKDJ	(6) 3 cards
jjSJHJDQDJ	(6) 3 cards
jjSJCACKCQ	(5) straight!
jjSJCACKCJ	(6) 3 cards
jjSJCACKDA	(6) 3 cards
jjSJCACKDK	(6) 3 cards
jjSJCACKDQ	(5) straight!
jjSJCACKDJ	(6) 3 cards
jjSJCACQCJ	(6) 3 cards
jjSJCACQDA	(6) 3 cards
jjSJCACQDK	(5) straight!
jjSJCACQDQ	(6) 3 cards
jjSJCACQDJ	(6) 3 cards
jjSJCACJDA	(4) full house
jjSJCACJDK	(6) 3 cards
jjSJCACJDQ	(6) 3 cards
jjSJCACJDJ	(6) 3 cards
jjSJCADADK	(6) 3 cards
jjSJCADADQ	(6) 3 cards
jjSJCADADJ	(4) full house
jjSJCADKDQ	(5) straight!
jjSJCADKDJ	(6) 3 cards
jjSJCADQDJ	(6) 3 cards
jjSJCKCQCJ	(6) 3 cards
jjSJCKCQDA	(5) straight!
jjSJCKCQDK	(6) 3 cards
jjSJCKCQDQ	(6) 3 cards
jjSJCKCQDJ	(6) 3 cards
jjSJCKCJDA	(6) 3 cards
jjSJCKCJDK	(4) full house
jjSJCKCJDQ	(6) 3 cards
jjSJCKCJDJ	(6) 3 cards
jjSJCKDADK	(6) 3 cards
jjSJCKDADQ	(5) straight!
jjSJCKDADJ	(6) 3 cards
jjSJCKDKDQ	(6) 3 cards
jjSJCKDKDJ	(4) full house
jjSJCKDQDJ	(6) 3 cards
jjSJCQCJDA	(6) 3 cards
jjSJCQCJDK	(6) 3 cards
jjSJCQCJDQ	(4) full house
jjSJCQCJDJ	(6) 3 cards
jjSJCQDADK	(5) straight!
jjSJCQDADQ	(6) 3 cards
jjSJCQDADJ	(6) 3 cards
jjSJCQDKDQ	(6) 3 cards
jjSJCQDKDJ	(6) 3 cards
jjSJCQDQDJ	(4) full house
jjSJCJDADK	(6) 3 cards
jjSJCJDADQ	(6) 3 cards
jjSJCJDADJ	(6) 3 cards
jjSJCJDKDQ	(6) 3 cards
jjSJCJDKDJ	(6) 3 cards
jjSJCJDQDJ	(6) 3 cards
jjSJDADKDQ	(5) straight!
jjSJDADKDJ	(6) 3 cards
jjSJDADQDJ	(6) 3 cards
jjSJDKDQDJ	(6) 3 cards
jjHAHKHQHJ	(2) royal straight flush!
jjHAHKHQCA	(6) 3 cards
jjHAHKHQCK	(6) 3 cards
jjHAHKHQCQ	(6) 3 cards
jjHAHKHQCJ	(5) straight!
jjHAHKHQDA	(6) 3 cards
jjHAHKHQDK	(6) 3 cards
jjHAHKHQDQ	(6) 3 cards
jjHAHKHQDJ	(5) straight!
jjHAHKHJCA	(6) 3 cards
jjHAHKHJCK	(6) 3 cards
jjHAHKHJCQ	(5) straight!
jjHAHKHJCJ	(6) 3 cards
jjHAHKHJDA	(6) 3 cards
jjHAHKHJDK	(6) 3 cards
jjHAHKHJDQ	(5) straight!
jjHAHKHJDJ	(6) 3 cards
jjHAHKCACK	(4) full house
jjHAHKCACQ	(6) 3 cards
jjHAHKCACJ	(6) 3 cards
jjHAHKCADA	(6) 3 cards
jjHAHKCADK	(4) full house
jjHAHKCADQ	(6) 3 cards
jjHAHKCADJ	(6) 3 cards
jjHAHKCKCQ	(6) 3 cards
jjHAHKCKCJ	(6) 3 cards
jjHAHKCKDA	(4) full house
jjHAHKCKDK	(6) 3 cards
jjHAHKCKDQ	(6) 3 cards
jjHAHKCKDJ	(6) 3 cards
jjHAHKCQCJ	(5) straight!
jjHAHKCQDA	(6) 3 cards
jjHAHKCQDK	(6) 3 cards
jjHAHKCQDQ	(6) 3 cards
jjHAHKCQDJ	(5) straight!
jjHAHKCJDA	(6) 3 cards
jjHAHKCJDK	(6) 3 cards
jjHAHKCJDQ	(5) straight!
jjHAHKCJDJ	(6) 3 cards
jjHAHKDADK	(4) full house
jjHAHKDADQ	(6) 3 cards
jjHAHKDADJ	(6) 3 cards
jjHAHKDKDQ	(6) 3 cards
jjHAHKDKDJ	(6) 3 cards
jjHAHKDQDJ	(5) straight!
jjHAHQHJCA	(6) 3 cards
jjHAHQHJCK	(5) straight!
jjHAHQHJCQ	(6) 3 cards
jjHAHQHJCJ	(6) 3 cards
jjHAHQHJDA	(6) 3 cards
jjHAHQHJDK	(5) straight!
jjHAHQHJDQ	(6) 3 cards
jjHAHQHJDJ	(6) 3 cards
jjHAHQCACK	(6) 3 cards
jjHAHQCACQ	(4) full house
jjHAHQCACJ	(6) 3 cards
jjHAHQCADA	(6) 3 cards
jjHAHQCADK	(6) 3 cards
jjHAHQCADQ	(4) full house
jjHAHQCADJ	(6) 3 cards
jjHAHQCKCQ	(6) 3 cards
jjHAHQCKCJ	(5) straight!
jjHAHQCKDA	(6) 3 cards
jjHAHQCKDK	(6) 3 cards
jjHAHQCKDQ	(6) 3 cards
jjHAHQCKDJ	(5) straight!
jjHAHQCQCJ	(6) 3 cards
jjHAHQCQDA	(4) full house
jjHAHQCQDK	(6) 3 cards
jjHAHQCQDQ	(6) 3 cards
jjHAHQCQDJ	(6) 3 cards
jjHAHQCJDA	(6) 3 cards
jjHAHQCJDK	(5) straight!
jjHAHQCJDQ	(6) 3 cards
jjHAHQCJDJ	(6) 3 cards
jjHAHQDADK	(6) 3 cards
jjHAHQDADQ	(4) full house
jjHAHQDADJ	(6) 3 cards
jjHAHQDKDQ	(6) 3 cards
jjHAHQDKDJ	(5) straight!
jjHAHQDQDJ	(6) 3 cards
jjHAHJCACK	(6) 3 cards
jjHAHJCACQ	(6) 3 cards
jjHAHJCACJ	(4) full house
jjHAHJCADA	(6) 3 cards
jjHAHJCADK	(6) 3 cards
jjHAHJCADQ	(6) 3 cards
jjHAHJCADJ	(4) full house
jjHAHJCKCQ	(5) straight!
jjHAHJCKCJ	(6) 3 cards
jjHAHJCKDA	(6) 3 cards
jjHAHJCKDK	(6) 3 cards
jjHAHJCKDQ	(5) straight!
jjHAHJCKDJ	(6) 3 cards
jjHAHJCQCJ	(6) 3 cards
jjHAHJCQDA	(6) 3 cards
jjHAHJCQDK	(5) straight!
jjHAHJCQDQ	(6) 3 cards
jjHAHJCQDJ	(6) 3 cards
jjHAHJCJDA	(4) full house
jjHAHJCJDK	(6) 3 cards
jjHAHJCJDQ	(6) 3 cards
jjHAHJCJDJ	(6) 3 cards
jjHAHJDADK	(6) 3 cards
jjHAHJDADQ	(6) 3 cards
jjHAHJDADJ	(4) full house
jjHAHJDKDQ	(5) straight!
jjHAHJDKDJ	(6) 3 cards
jjHAHJDQDJ	(6) 3 cards
jjHACACKCQ	(6) 3 cards
jjHACACKCJ	(6) 3 cards
jjHACACKDA	(6) 3 cards
jjHACACKDK	(4) full house
jjHACACKDQ	(6) 3 cards
jjHACACKDJ	(6) 3 cards
